"category","facility","state"
"Basic Infrastructure","Water Supply",1
"Basic Infrastructure","Electricity Connection",1
"Basic Infrastructure","Sewage System",1
"Basic Infrastructure","Waste Disposal",1
"Basic Infrastructure","Backup Generator",1
"Basic Infrastructure","Solar Panels",1
"Basic Infrastructure","Borehole",1
"Security & Safety","CCTV Surveillance",1
"Security & Safety","Access Control",1
"Security & Safety","Gated Compound",1
"Security & Safety","24/7 Security Guards",1
"Security & Safety","Fire Alarm System",1
"Security & Safety","Emergency Exits",1
"Security & Safety","Intercom System",1
"Transportation & Parking","Car Parking (Basement/Open/Reserved)",1
"Transportation & Parking","Bicycle Parking",1
"Transportation & Parking","EV Charging Stations",1
"Transportation & Parking","Visitor Parking",1
"Transportation & Parking","Loading Dock",1
"Building & Accessibility","Elevators/Lifts",1
"Building & Accessibility","Staircases",1
"Building & Accessibility","Disabled Access (Ramps, Handrails, etc.)",1
"Building & Accessibility","Reception/Lobby",1
"Building & Accessibility","Signage & Wayfinding",1
"Utility & Maintenance","Internet/Cable",1
"Utility & Maintenance","HVAC System (Heating, Ventilation, Air Conditioning)",1
"Utility & Maintenance","Plumbing & Drainage System",1
"Utility & Maintenance","Pest Control System",1
"Utility & Maintenance","Storage Rooms",1
"Utility & Maintenance","Laundry Room",1
"Shared/Common Areas","Conference/Meeting Rooms",1
"Shared/Common Areas","Co-working Space",1
"Shared/Common Areas","Public Restrooms",1
"Shared/Common Areas","Common Kitchen/Pantry",1
"Shared/Common Areas","Waste Collection Points",1
"Shared/Common Areas","Swimming pool",1
"Shared/Common Areas","Gym",1
"Shared/Common Areas","Club House",1
"Shared/Common Areas","Rooftop Garden",1




